code difference 
321328 -0.000191
322218 -0.052757
323108 -0.035628
323998 -0.021795
324888 -0.021798
325778 -0.051728
326668 -0.018082
327558 -0.004213
328448 -0.021792
329338 -0.029819
330228 -0.007552
331118 -0.023220
332008 0.000056
332898 -0.013095
333788 -0.005916
334678 -0.017594
335568 -0.020232
336458 0.004904
337348 -0.060217
338238 -0.030086
339128 -0.013737
340018 -0.014061
340908 -0.011087
341798 -0.031863
342688 -0.031427
343578 -0.002567
344468 -0.030875
345358 -0.017338
346248 -0.009588
347138 -0.046776
348028 -0.032220
348918 -0.027374
349808 -0.034579
350698 -0.052056
351588 -0.031274
352478 -0.028413
353368 -0.032898
354258 -0.037529
355148 -0.008326
356038 -0.011090
356928 -0.036044
357818 -0.035179
358708 -0.000612
359598 -0.007333
360488 -0.026649
361378 -0.016493
362268 -0.043092
363158 -0.024828
364048 -0.020639
364938 -0.018838
365828 -0.034900
366718 -0.033224
367608 -0.053834
368498 -0.044640
369388 -0.019788
370278 -0.021266
371168 -0.016513
372058 0.009764
372948 0.000090
373838 -0.016022
374728 -0.023507
375618 -0.007217
376508 -0.030305
377398 -0.003085
378288 -0.023279
379178 -0.006385
380068 -0.000568
380958 -0.000832
381848 -0.023833
382738 -0.021023
383628 -0.009239
384518 0.001079
386298 -0.057884
387188 -0.026760
388078 -0.026050
388968 -0.029037
389858 -0.005682
390748 -0.023621
391638 -0.035384
392528 -0.012134
393418 -0.013724
394308 -0.022454
395198 -0.053871
396088 -0.046867
396978 -0.029964
397868 -0.023133
398758 -0.003275
399648 -0.025774
400538 -0.018319
401428 -0.021588
402318 -0.092138
403208 -0.015172
404098 -0.001717
404988 -0.019405
405878 -0.004014
406768 0.000525
407658 -0.015757
408548 -0.018400
409438 -0.020453
410328 -0.023440
411218 -0.009366
412108 -0.003430
412998 -0.023230
413888 -0.034378
414778 -0.025970
415668 -0.028494
416558 -0.022318
417448 -0.042206
418338 -0.027126
419228 -0.026300
420118 -0.042229
421008 -0.033461
421898 -0.016047
422788 -0.052643
423678 -0.041080
424568 -0.064068
425458 -0.028529
426348 -0.023187
427238 -0.039650
428128 -0.039337
429018 -0.046736
429908 -0.013572
430798 -0.035841
431688 -0.026055
432578 -0.014954
433468 -0.034910
434358 -0.040750
435248 -0.029063
436138 -0.022111
437028 -0.027274
437918 -0.018592
438808 -0.023716
439698 -0.044040
440588 -0.035717
441478 -0.038907
442368 -0.059278
443258 -0.018327
444148 -0.008941
445038 -0.011896
445928 -0.042080
446818 -0.032719
447708 -0.029104
448598 -0.019963
449488 -0.021406
450378 -0.031337
451268 -0.060528
452158 -0.028863
453048 -0.017046
453938 -0.035935
454828 -0.020239
455718 -0.019499
456608 -0.020712
457498 -0.031810
458388 0.003840
459278 -0.003716
460168 -0.027604
461058 -0.042897
461948 -0.014085
462838 -0.020784
463728 0.005790
464618 -0.013732
465508 -0.021880
466398 -0.018971
467288 0.001446
468178 -0.021397
469068 -0.015423
469958 -0.040181
470848 -0.040818
471738 -0.020525
472628 -0.018042
473518 -0.018126
474408 -0.024519
475298 0.010609
476188 -0.022264
477078 -0.052684
477968 0.008141
478858 -0.066774
479748 -0.036859
480638 -0.021974
481528 -0.030592
482418 -0.196496
483308 -0.010817
484198 -0.048338
485088 -0.013179
485978 -0.019395
486868 -0.019742
487758 -0.055632
488648 -0.032270
489538 -0.032182
490428 -0.030221
491318 -0.009073
492208 0.001101
493098 -0.035110
493988 -0.007137
494878 -0.007799
495768 -0.013963
496658 -0.037657
497548 -0.012704
498438 -0.004297
499328 -0.000877
500218 0.007685
501108 0.035922
501998 0.016089
502888 0.114044
503778 0.013639
504668 0.004624
505558 0.004338
506448 0.019305
507338 -0.099715
508228 -0.028405
509118 -0.006645
510008 -0.011938
510898 0.007609
511788 -0.009730
512678 -0.032194
513568 -0.026126
514458 -0.049857
515348 -0.019707
516238 0.002929
517128 -0.018976
518018 -0.022906
518908 -0.008626
519798 -0.010101
521578 -0.025296
522468 -0.026143
523358 0.012839
524248 0.011002
525138 0.005837
526028 -0.000355
526918 0.026216
527808 0.021297
528698 0.041733
529588 0.037870
530478 0.049284
531368 0.044789
532258 0.041469
533148 0.070685
534038 0.061346
534928 0.101521
535818 0.104027
536708 0.122357
537598 0.119875
538488 0.108206
539378 0.136191
540268 0.122215
541158 0.140091
542048 0.146146
542938 0.168586
543828 0.170955
544718 0.170559
545608 0.184693
546498 0.188027
547388 0.202430
548278 0.189305
549168 0.216695
550058 0.211752
550948 0.222851
551838 0.238911
552728 0.252438
553618 0.246173
554508 0.234848
555398 0.246917
556288 0.275236
557178 0.238068
558068 0.293325
558958 0.276941
559848 0.312093
560738 0.297757
561628 0.260130
562518 0.302979
563408 0.333252
564298 0.352639
565188 0.073195
566078 0.323595
566968 0.344311
567858 0.379977
568748 0.384430
569638 0.395886
570528 0.385256
571418 0.390141
572308 0.408798
573198 0.415432
574088 0.409132
574978 0.411575
575868 0.441980
576758 0.447879
577648 0.451505
578538 0.426317
579428 0.454203
580318 0.440416
581208 0.479616
582098 0.467687
582988 0.459502
583878 0.474944
584768 0.465739
585658 0.505267
586548 0.479778
587438 0.508288
588328 0.524693
589218 0.539639
590108 0.531825
591888 0.537625
592778 0.571257
593668 0.554203
594558 0.568373
595448 0.593652
596338 0.601516
597228 0.596009
598118 0.602894
599008 0.597307
599898 0.594761
600788 0.636253
601678 0.623796
602568 0.607468
603458 0.595027
604348 0.625264
606128 0.665752
607018 0.655895
607908 0.641051
608798 0.702591
609688 0.689983
610578 0.681022
611468 0.689082
612358 0.679993
613248 0.713215
614138 0.731685
615028 0.721146
615918 0.688738
616808 0.708163
617698 0.732223
618588 0.742904
619478 0.742176
620368 0.740332
621258 0.758898
622148 0.762685
623038 0.763523
623928 0.733184
624818 0.762226
625708 0.849463
626598 0.807184
627488 0.805038
628378 0.802124
629268 0.799190
630158 0.806498
631048 0.820234
631938 0.810393
632828 0.805110
633718 0.849546
634608 0.848594
635498 0.831350
636388 0.853072
637278 0.873381
638168 0.864150
639058 0.892410
639948 0.848699
640838 0.877028
641728 0.880494
642618 0.904462
643508 0.910067
644398 0.914664
645288 0.892394
646178 0.926632
647068 0.924550
647958 0.910296
648848 0.939372
649738 0.947812
650628 0.961827
652408 0.931581
653298 0.960761
654188 0.971776
655078 0.977119
655968 0.966695
656858 0.959313
657748 0.973034
658638 1.002860
659528 1.001544
660418 1.015815
661308 0.999599
662198 1.019706
663088 1.026031
663978 1.003519
664868 1.021597
665758 1.016373
666648 1.051391
667538 1.057727
668428 1.040577
669318 1.039097
670208 1.067700
671098 1.066891
671988 1.065575
672878 1.081816
673768 1.063466
674658 1.083943
675548 1.087034
676438 1.073480
677328 1.077255
678218 1.111052
679108 1.105177
679998 1.080622
680888 1.111446
681778 1.134051
682668 1.143081
683558 1.154993
684448 1.138306
685338 1.147920
686228 1.158396
687118 1.148490
688008 1.169358
688898 1.156078
689788 1.170531
691568 1.182591
692458 1.188334
693348 1.177040
694238 1.211759
695128 1.167370
696018 1.202873
696908 1.219151
697798 1.219872
698688 1.200527
699578 1.230202
700468 1.211775
701358 1.220769
702248 1.250786
703138 1.217860
704028 1.248417
704918 1.264832
705808 1.264335
706698 1.249009
707588 1.280209
708478 1.283548
709368 1.250561
710258 1.236864
711148 1.265246
712038 1.273565
712928 1.279448
713818 1.288620
714708 1.277840
715598 1.318587
716488 1.307303
717378 1.326906
718268 1.321384
719158 1.337738
720048 1.340823
720938 1.344811
721828 1.331063
722718 1.351782
723608 1.353808
724498 1.376919
725388 1.358840
726278 1.335217
727168 1.326494
728058 1.362482
728948 1.399847
729838 1.370002
730728 1.370381
731618 1.388919
732508 1.394256
733398 1.392172
734288 1.361469
735178 1.380101
736068 1.431252
736958 1.399090
737848 1.418248
738738 1.430259
739628 1.416811
740518 1.440776
741408 1.448254
742298 1.432495
743188 1.464676
744078 1.455292
744968 1.460763
745858 1.463563
746748 1.464748
747638 1.478229
748528 1.467811
749418 1.473798
750308 1.492056
751198 1.462463
752088 1.463360
752978 1.485376
753868 1.484383
754758 1.483655
755648 1.499471
757428 1.497607
758318 1.504331
759208 1.507490
760098 1.520299
760988 1.519828
761878 1.524280
762768 1.532018
763658 1.524335
764548 1.511971
765438 1.553796
766328 1.566144
767218 1.557474
768108 1.571093
768998 1.570989
769888 1.545094
770778 1.568152
771668 1.575062
772558 1.540305
773448 1.589667
774338 1.596753
775228 1.615203
776118 1.618212
777008 1.576234
777898 1.625705
778788 1.620368
779678 1.558261
780568 1.621907
781458 1.624895
782348 1.619757
783238 1.590646
784128 1.615252
785018 1.618230
785908 1.631589
786798 1.645905
787688 1.596112
788578 1.645680
789468 1.674381
790358 1.651495
791248 1.647991
792138 1.657502
793028 1.657068
793918 1.683620
794808 1.665281
795698 1.653923
796588 1.686176
797478 1.696300
798368 1.666494
799258 1.669223
800148 1.662789
801038 1.692585
801928 1.701405
802818 1.680540
803708 1.696231
804598 1.685843
805488 1.715918
806378 1.699239
807268 1.704036
808158 1.704524
809048 1.722317
809938 1.725703
810828 1.723576
811718 1.746389
812608 1.749179
813498 1.722703
814388 1.754989
815278 1.740228
816168 1.782244
817058 1.726484
817948 1.734339
818838 1.769440
819728 1.766496
820618 1.779326
821508 1.788715
822398 1.783510
823288 1.765016
824178 1.786021
825068 1.773664
825958 1.777416
826848 1.776372
827738 1.812321
828628 1.792503
829518 1.805806
830408 1.813941
831298 1.820102
832188 1.776936
833078 1.818634
833968 1.822965
834858 1.827153
835748 1.841198
836638 1.838380
837528 1.837030
839308 1.846249
840198 1.801713
841978 1.856689
842868 1.841876
843758 1.833822
844648 1.897706
845538 1.834055
846428 1.836422
847318 1.877717
848208 1.861415
849098 1.890023
849988 1.877869
850878 1.885420
851768 1.881730
852658 1.903518
853548 1.887003
854438 1.866219
855328 1.903210
856218 1.901915
857108 1.895949
857998 1.877378
858888 1.907097
859778 1.917483
860668 1.919402
861558 1.853686
862448 1.879737
863338 1.914695
864228 1.946653
865118 1.898084
866008 1.944015
866898 1.937013
867788 1.934850
868678 1.924729
869568 1.943214
870458 1.940046
871348 1.932070
872238 1.950640
873128 1.948803
874018 1.955069
874908 1.947434
875798 1.965932
876688 1.956562
877578 1.958350
878468 1.944485
879358 1.985590
880248 1.990736
881138 1.991195
882028 1.946680
882918 1.982648
883808 1.958830
884698 2.018485
885588 1.996806
886478 2.001493
887368 1.999267
888258 1.993701
889148 1.984918
890038 2.018315
